Name,Position,Goalkeeper,Defender,Midfielder,Forward
David Ospina,Goalkeeper,1,,,
Keylor Navas,Goalkeeper,1,,,
Manuel Neuer,Goalkeeper,1,,,
Farouk Ben Mustapha,Goalkeeper,1,,,
Alireza Beiranvand,Goalkeeper,2,,,
Gabriel Mercado,Defender,,1,,
Aziz Behich,Defender,,1,,
Vincent Kompany,Defender,,1,,
Jan Vertonghen,Defender,,1,,
Thomas Meunier,Defender,,1,,
Thiago Silva,Defender,,1,,
Fagner,Defender,,1,,
Santiago Arias,Defender,,1,,
Dávinson Sánchez,Defender,,1,,
Giancarlo González,Defender,,1,,
Šime Vrsaljko,Defender,,1,,
Ivan Strinić,Defender,,1,,
Domagoj Vida,Defender,,1,,
Mathias Jørgensen,Defender,,1,,
Henrik Dalsgaard,Defender,,1,,
Ahmed Fathy,Defender,,1,,
Kyle Walker,Defender,,1,,
Danny Rose,Defender,,1,,
Phil Jones,Defender,,1,,
Fabian Delph,Defender,,1,,
Ashley Young,Defender,,1,,
Raphaël Varane,Defender,,1,,
Niklas Süle,Defender,,1,,
Antonio Rüdiger,Defender,,1,,
Jérôme Boateng,Defender,,1,,
Kári Árnason,Defender,,1,,
Hörður Björgvin Magnússon,Defender,,1,,
Morteza Pouraliganji,Defender,,1,,
Gen Shoji,Defender,,1,,
Hugo Ayala,Defender,,1,,
Achraf Hakimi,Defender,,1,,
Medhi Benatia,Defender,,1,,
Brian Idowu,Defender,,1,,
William Troost-Ekong,Defender,,1,,
Leon Balogun,Defender,,1,,
Shehu Abdullahi,Defender,,1,,
Michael Amir Murillo,Defender,,1,,
Anderson Santamaría,Defender,,1,,
Raphaël Guerreiro,Defender,,1,,
Ricardo Pereira,Defender,,1,,
Cédric,Defender,,1,,
Mário Fernandes,Defender,,1,,
Sergei Ignashevich,Defender,,1,,
Fyodor Kudryashov,Defender,,1,,
Osama Hawsawi,Defender,,1,,
Antonio Rukavina,Defender,,1,,
Nikola Milenković,Defender,,1,,
Hong Chul,Defender,,1,,
Jang Hyun-soo,Defender,,1,,
Dani Carvajal,Defender,,1,,
Nacho,Defender,,1,,
Manuel Akanji,Defender,,1,,
José Giménez,Defender,,1,,
Eliana Stábile,Defender,,1,,
Aldana Cometti,Defender,,1,,
Alanna Kennedy,Defender,,1,,
Tamires,Defender,,1,,
Yvonne Leuko,Defender,,1,,
Jayde Riviere,Defender,,1,,
Javiera Toro,Defender,,1,,
Han Peng,Defender,,1,,
Alex Greenwood,Defender,,1,,
Sara Doorsoun,Defender,,1,,
Sara Gama,Defender,,1,,
Elena Linari,Defender,,1,,
Elisa Bartoli,Defender,,1,,
Risa Shimizu,Defender,,1,,
Kim Hye-ri,Defender,,1,,
Stefanie van der Gragt,Defender,,1,,
Merel van Dongen,Defender,,1,,
Dominique Bloodworth,Defender,,1,,
Ali Riley,Defender,,1,,
Osinachi Ohale,Defender,,1,,
Faith Michael,Defender,,1,,
Maria Thorisdottir,Defender,,1,,
Nicola Docherty,Defender,,1,,
Nothando Vilakazi,Defender,,1,,
Janine van Wyk,Defender,,1,,
Nilla Fischer,Defender,,1,,
Magdalena Eriksson,Defender,,1,,
Warunee Phetwiset,Defender,,1,,
Eduardo Salvio,Defender,,2,,
Trent Sainsbury,Defender,,2,,
Yerry Mina,Defender,,2,,
Cristian Gamboa,Defender,,2,,
Dejan Lovren,Defender,,2,,
Jens Stryger Larsen,Defender,,2,,
Mohamed Abdel-Shafy,Defender,,2,,
John Stones,Defender,,2,,
Harry Maguire,Defender,,2,,
Jonas Hector,Defender,,2,,
Ehsan Hajsafi,Defender,,2,,
Yuto Nagatomo,Defender,,2,,
Maya Yoshida,Defender,,2,,
Nabil Dirar,Defender,,2,,
Lamine Gassama,Defender,,2,,
Branislav Ivanović,Defender,,2,,
Lee Yong,Defender,,2,,
Martín Cáceres,Defender,,2,,
Clare Polkinghorne,Defender,,2,,
Su Helen Galaz,Defender,,2,,
Griedge Mbock Bathy,Defender,,2,,
Kathrin Hendrich,Defender,,2,,
Rebekah Stott,Defender,,2,,
Ngozi Ebere,Defender,,2,,
Ingrid Wold,Defender,,2,,
Lebogang Ramalepe,Defender,,2,,
Becky Sauerbrunn,Defender,,2,,
Nicolás Tagliafico,Defender,,3,,
Javier Mascherano,Defender,,3,,
Johnny Acosta,Defender,,3,,
Kieran Trippier,Defender,,3,,
Benjamin Pavard,Defender,,3,,
Joshua Kimmich,Defender,,3,,
Héctor Moreno,Defender,,3,,
José Fonte,Defender,,3,,
Duško Tošić,Defender,,3,,
Aleksandar Kolarov,Defender,,3,,
Martin Olsson,Defender,,3,,
Kathellen,Defender,,3,,
Steph Houghton,Defender,,3,,
Amel Majri,Defender,,3,,
Carolin Simon,Defender,,3,,
Chidinma Okeke,Defender,,3,,
Nicolás Otamendi,Defender,,4,,
Johan Mojica,Defender,,4,,
Ramin Rezaeian,Defender,,4,,
Hiroki Sakai,Defender,,4,,
Luis Advíncula,Defender,,4,,
Jordi Alba,Defender,,4,,
Mikael Lustig,Defender,,4,,
Fabian Schär,Defender,,4,,
Simon Kjær,Defender,,5,,
Sergio Ramos,Defender,,5,,
Noko Matlou,Defender,,5,,
Pepe,Defender,,6,,
Stephan Lichtsteiner,Defender,,6,,
Lucy Bronze,Defender,,6,,
Samuel Umtiti,Defender,,7,,
Lucas Hernández,Defender,,7,,
Héctor Herrera,Defender,,7,,
Andreas Granqvist,Defender,,9,,
Lucas Biglia,Midfielder,,,1,
Mile Jedinak,Midfielder,,,1,
Tom Rogic,Midfielder,,,1,
Kevin De Bruyne,Midfielder,,,1,
Mousa Dembélé,Midfielder,,,1,
Nacer Chadli,Midfielder,,,1,
Casemiro,Midfielder,,,1,
Philippe Coutinho,Midfielder,,,1,
Paulinho,Midfielder,,,1,
Willian,Midfielder,,,1,
Mateus Uribe,Midfielder,,,1,
Celso Borges,Midfielder,,,1,
Daniel Colindres,Midfielder,,,1,
Bryan Ruiz,Midfielder,,,1,
David Guzmán,Midfielder,,,1,
Marcelo Brozović,Midfielder,,,1,
Sam Morsy,Midfielder,,,1,
Trézéguet,Midfielder,,,1,
Thomas Müller,Midfielder,,,1,
İlkay Gündoğan,Midfielder,,,1,
Aron Gunnarsson,Midfielder,,,1,
Rúrik Gíslason,Midfielder,,,1,
Omid Ebrahimi,Midfielder,,,1,
Takashi Usami,Midfielder,,,1,
Makoto Hasebe,Midfielder,,,1,
Jonathan dos Santos,Midfielder,,,1,
Hakim Ziyech,Midfielder,,,1,
Karim El Ahmadi,Midfielder,,,1,
Fayçal Fajr,Midfielder,,,1,
Amine Harit,Midfielder,,,1,
Mehdi Carcela,Midfielder,,,1,
John Obi Mikel,Midfielder,,,1,
Édgar Bárcenas,Midfielder,,,1,
Armando Cooper,Midfielder,,,1,
Ricardo Ávila,Midfielder,,,1,
Paolo Hurtado,Midfielder,,,1,
Renato Tapia,Midfielder,,,1,
Kamil Grosicki,Midfielder,,,1,
Piotr Zieliński,Midfielder,,,1,
Rafał Kurzawa,Midfielder,,,1,
William Carvalho,Midfielder,,,1,
Bruno Fernandes,Midfielder,,,1,
Denis Cheryshev,Midfielder,,,1,
Yuri Zhirkov,Midfielder,,,1,
Abdullah Otayf,Midfielder,,,1,
Housain Al-Mogahwi,Midfielder,,,1,
Taisir Al-Jassim,Midfielder,,,1,
Cheikhou Kouyaté,Midfielder,,,1,
Alfred N'Diaye,Midfielder,,,1,
Luka Milivojević,Midfielder,,,1,
Dušan Tadić,Midfielder,,,1,
Sergej Milinković-Savić,Midfielder,,,1,
Ju Se-jong,Midfielder,,,1,
Koo Ja-cheol,Midfielder,,,1,
Koke,Midfielder,,,1,
Marco Asensio,Midfielder,,,1,
Steven Zuber,Midfielder,,,1,
Ruth Bravo,Midfielder,,,1,
Florencia Bonsegundo,Midfielder,,,1,
Mariela Coronel,Midfielder,,,1,
Emily van Egmond,Midfielder,,,1,
Katrina Gorry,Midfielder,,,1,
Andressinha,Midfielder,,,1,
Jeannette Yango,Midfielder,,,1,
Marlyse Ngo Ndoumbouk,Midfielder,,,1,
Dzsenifer Marozsán,Midfielder,,,1,
Sara Däbritz,Midfielder,,,1,
Yui Hasegawa,Midfielder,,,1,
Narumi Miura,Midfielder,,,1,
Lee Young-ju,Midfielder,,,1,
Sherida Spitse,Midfielder,,,1,
Annalie Longo,Midfielder,,,1,
Katie Bowen,Midfielder,,,1,
Olivia Chance,Midfielder,,,1,
Vilde Bøe Risa,Midfielder,,,1,
Karina Sævik,Midfielder,,,1,
Leanne Crichton,Midfielder,,,1,
Kholosa Biyana,Midfielder,,,1,
Vicky Losada,Midfielder,,,1,
Patricia Guijarro,Midfielder,,,1,
Aitana Bonmatí,Midfielder,,,1,
Andrea Falcón,Midfielder,,,1,
Lina Hurtig,Midfielder,,,1,
Éver Banega,Midfielder,,,2,
Ángel Di María,Midfielder,,,2,
Cristian Pavón,Midfielder,,,2,
Yannick Carrasco,Midfielder,,,2,
Fernandinho,Midfielder,,,2,
Wílmar Barrios,Midfielder,,,2,
James Rodríguez,Midfielder,,,2,
Mateo Kovačić,Midfielder,,,2,
Milan Badelj,Midfielder,,,2,
Thomas Delaney,Midfielder,,,2,
Christian Eriksen,Midfielder,,,2,
Lasse Schöne,Midfielder,,,2,
Jesse Lingard,Midfielder,,,2,
Ruben Loftus-Cheek,Midfielder,,,2,
Mesut Özil,Midfielder,,,2,
Birkir Bjarnason,Midfielder,,,2,
Vahid Amiri,Midfielder,,,2,
Miguel Layún,Midfielder,,,2,
Mbark Boussoufa,Midfielder,,,2,
Gabriel Gómez,Midfielder,,,2,
Aníbal Godoy,Midfielder,,,2,
Christian Cueva,Midfielder,,,2,
Pedro Aquino,Midfielder,,,2,
Jacek Góralski,Midfielder,,,2,
Maciej Rybus,Midfielder,,,2,
João Moutinho,Midfielder,,,2,
Bernardo Silva,Midfielder,,,2,
Adrien Silva,Midfielder,,,2,
Daler Kuzyayev,Midfielder,,,2,
Nemanja Matić,Midfielder,,,2,
Ki Sung-yueng,Midfielder,,,2,
Sebastian Larsson,Midfielder,,,2,
Emil Forsberg,Midfielder,,,2,
Carlos Sánchez,Midfielder,,,2,
Cristian Rodríguez,Midfielder,,,2,
Lucas Torreira,Midfielder,,,2,
